german,english,german_full,s1,t1,s2,t2,s3,t3,s4,t4,s5,t5,s6,t6
Service,service,"der Service, -",Rufst du beim Pizza-Service an?,Are you calling the pizza service?,Ich war mit dem Service in der Werkstatt nicht zufrieden.,I was not satisfied with the service in the workshop.,,,,,,,,
Serviceangestellte,service employee,"der Serviceangestellte, -n 
die Serviceangestellte, -n (CH) 
→ Kellner; D, A: Ober",Ich bin Serviceangestellte von Beruf.,I am a service employee by profession.,,,,,,,,,,
Sessel,armchair,"der Sessel, - (D, CH) 
→ A, CH: Fauteuil",Ich hätte gern einen bequemen Sessel.,I would like a comfortable armchair.,,,,,,,,,,
Sessel,chair,"der Sessel, - (A) 
→ D, CH: Stuhl",Da hinten ist noch ein Sessel frei.,There's an empty chair at the back.,,,,,,,,,,
Sicherheit,"safety, security","die Sicherheit, -en",Sicherheit ist für mich sehr wichtig.,Safety is very important to me.,,,,,,,,,,
Sieg,victory,"der Sieg, -e",Unsere Mannschaft hat gewonnen. Wir freuen uns über den Sieg.,Our team has won. We are delighted with the victory.,,,,,,,,,,
"Sieger, Siegerin",winner,"der Sieger, - 
die Siegerin, -nen",Wer hat gewonnen? Wie heißt die Siegerin?,Who won? What is the name of the winner?,,,,,,,,,,
Sinn,"sense, meaning, purpose","der Sinn, -e","Es hat keinen Sinn, noch ein Spiel zu beginnen. Es ist schon spät.",There's no point in starting another game. It's already late.,,,,,,,,,,
Situation,situation,"die Situation, -en",Ich bin in einer schwierigen Situation.,I am in a difficult situation.,,,,,,,,,,
Sitz,seat,"der Sitz, -e",Ich suche für meinen Sohn einen Sitz fürs Auto. Erst ist erst drei Jahre alt.,I am looking for a car seat for my son. He is only three years old.,,,,,,,,,,
Ski/Schi,ski,"der Ski/Schi, -er/-",Gehen wir am Wochenende Ski laufen?,Are we going skiing at the weekend?,Das sind aber schöne Skier!,Those are beautiful skis!,,,,,,,,
Socke,sock,"die Socke, -n",Im Winter brauche ich warme Socken.,I need warm socks in winter.,,,,,,,,,,
Sofa,sofa,"das Sofa, -s",Wir hätten gern ein modernes Sofa.,We would like a modern sofa.,,,,,,,,,,
Sohn,son,"der Sohn, ¨-e",Mein jüngster Sohn ist vier.,My youngest son is four.,,,,,,,,,,
Sonderangebot,special offer,"das Sonderangebot, -e",Das ist ein Sonderangebot: 25 % reduziert.,This is a special offer: 25% off.,,,,,,,,,,
Sonne,sun,"die Sonne, -n",Das Wetter ist schön. Die Sonne scheint.,The weather is nice. The sun is shining.,Ich habe zu lange in der Sonne gelegen.,I've been lying in the sun for too long.,,,,,,,,
Sorge,"care, concern, worry","die Sorge, -n",Um Ihre Zukunft brauchen Sie sich keine Sorgen zu machen.,You don't need to worry about your future.,,,,,,,,,,
Soße/Sauce,sauce,"die Soße/Sauce, -n",Gibst du mir bitte mal die Soße?,"Could you pass me the sauce, please?",,,,,,,,,,
Souvenir,souvenir,"das Souvenir, -s",Ich habe ein paar Souvenirs aus dem Urlaub mitgebracht.,I brought a few souvenirs from my vacation.,,,,,,,,,,
"Sozialarbeiter, Sozialarbeiterin",social worker,"der Sozialarbeiter, - 
die Sozialarbeiterin, -nen",Die Sozialarbeiterin kommt einmal in der Woche.,The social worker comes once a week.,,,,,,,,,,
Spaß,fun,der Spaß (Sg.),Meine Arbeit macht mir viel Spaß.,I really enjoy my work.,Viel Spaß bei der Party!,Have fun at the party!,,,,,,,,
Spaziergang,walk,"der Spaziergang, ¨-e",Abends mache ich oft einen Spaziergang durch das Viertel.,I often take a walk through the neighborhood in the evening.,,,,,,,,,,
Speisekarte,menu,"die Speisekarte, -n","Bitte, die Speisekarte.","Please, the menu.",,,,,,,,,,
Speisewagen,dining car,"der Speisewagen, -",Wo ist der Speisewagen?,Where is the dining car?,,,,,,,,,,
"Spezialist, Spezialistin",specialist,"der Spezialist, -en 
die Spezialistin, -nen",Mein Arzt hat mich zur Spezialistin geschickt.,My doctor sent me to a specialist.,,,,,,,,,,
Spiegel,mirror,"der Spiegel, -","Ich möchte gerne sehen, wie mein Kleid sitzt. Hast du einen Spiegel?",I would like to see how my dress fits. Do you have a mirror?,,,,,,,,,,
Spiel,game,"das Spiel, -e",Monopoly ist ein ganz bekanntes Spiel.,Monopoly is a well-known game.,Nach 20 Minuten stand das Spiel 2:1.,"After 20 minutes, the score was 2:1.",,,,,,,,
"Spieler, Spielerin",player,"der Spieler, - 
die Spielerin, -nen",Für dieses Spiel braucht man zwei bis vier Spieler.,You need two to four players for this game.,Beim Fußball gibt es elf Spieler.,There are eleven players in soccer.,,,,,,,,
Spielplatz,playground,"der Spielplatz, ¨-e",Die Kinder sind auf dem Spielplatz.,The children are in the playground.,,,,,,,,,,
Spielzeug,toy,"das Spielzeug, -e",Zu Weihnachten wünschen sich die Kinder vor allem Spielzeug.,Children mainly want toys for Christmas.,,,,,,,,,,
Sport,sport,"der Sport, -e",Für Sport interessiere ich mich sehr.,I am very interested in sport.,Ich mache viel Sport.,I do a lot of sport.,,,,,,,,
Sportart,sport type,"die Sportart, -en",Welche Sportart findest du am besten?,Which sport do you like best?,,,,,,,,,,
"Sportler, Sportlerin","sportsman, sportswoman","der Sportler, - 
die Sportlerin, -nen",Sie ist eine gute Sportlerin.,She is a good sportswoman.,,,,,,,,,,
Sprache,language,"die Sprache, -n",Franco spricht mehrere Sprachen.,Franco speaks several languages.,,,,,,,,,,
Fremdsprache,foreign language,"die Fremdsprache, -n",Ich spreche drei Fremdsprachen.,I speak three foreign languages.,,,,,,,,,,
Muttersprache,mother tongue,"die Muttersprache, -n",Was ist Ihre Muttersprache?,What is your mother tongue?,,,,,,,,,,
Zweitsprache,second language,"die Zweitsprache, -n",Deutsch ist seine Zweitsprache.,German is his second language.,,,,,,,,,,
Sprechstunde,consultation hour,"die Sprechstunde, -n 
→ A: Ordination",Frau Dr. Berger hat von 8 bis 12 Uhr Sprechstunde.,Dr. Berger has consultation hours from 8 a.m. to 12 noon.,,,,,,,,,,
Spritze,"injection, syringe","die Spritze, -n",Ich habe heute vom Arzt eine Spritze gegen die Schmerzen bekommen.,Today the doctor gave me an injection for the pain.,,,,,,,,,,
Spur,"track, trace","die Spur, -en","Fahren Sie bitte auf der linken Spur, wenn Sie schneller fahren.",Please drive in the left lane if you are driving faster.,,,,,,,,,,
Stadion,stadium,"das Stadion, Stadien",Ich möchte am Samstag ins Stadion gehen. Da spielt meine Mannschaft.,I want to go to the stadium on Saturday. My team is playing there.,,,,,,,,,,
Stadt,city,"die Stadt, ¨-e",Heidelberg ist eine alte Stadt.,Heidelberg is an old city.,Ich wohne lieber auf dem Land als in der Stadt.,I prefer living in the countryside to the city.,Gehst du mit mir in die Stadt?,Are you going into town with me?,,,,,,
Stadtplan,city map,"der Stadtplan, ¨-e",Haben Sie einen Stadtplan?,Do you have a city map?,,,,,,,,,,
Standpunkt,point of view,"der Standpunkt, -e",Von seinem Standpunkt aus hat er recht.,"From his point of view, he is right.",,,,,,,,,,
Star,star,"der Star, -s",Diese Sängerin ist ein großer Star in Deutschland.,This singer is a big star in Germany.,,,,,,,,,,
Start,start,"der Start, -s",Bleiben Sie bitte während des Starts sitzen.,Please remain seated during take-off.,,,,,,,,,,
Station,station,"die Station, -en",Sie müssen an der nächsten Station aussteigen.,You must get off at the next stop.,Meine Nachbarin liegt auf Station III.,My neighbor is in ward III.,,,,,,,,
Statistik,statistic,"die Statistik, -en","Die Statistik zeigt, dass jeder zweite ein Fahrrad besitzt.",Statistics show that every second person owns a bicycle.,,,,,,,,,,
Stau,traffic jam,"der Stau, -s",Auf der A3 gibt es wegen eines Unfalls 5 km Stau.,There is a 5 km traffic jam on the A3 due to an accident.,Wir standen eine Stunde im Stau.,We were stuck in a traffic jam for an hour.,,,,,,,,
Staub,dust,"der Staub, -e/¨-e",Ich habe überall Staub gewischt.,I dusted everywhere.,,,,,,,,,,
Steckdose,socket,"die Steckdose, -n",Es gibt drei Steckdosen in diesem Zimmer.,There are three sockets in this room.,,,,,,,,,,
Stecker,plug,"der Stecker, -",Der Stecker passt nicht in diese Steckdose.,The plug does not fit into this socket.,,,,,,,,,,
Stein,stone,"der Stein, -e",Die Kinder werfen Steine ins Wasser.,The children throw stones into the water.,,,,,,,,,,
Stelle,"place, position","die Stelle, -n",Wir treffen uns hier an dieser Stelle.,We meet here at this point.,Ich habe eine neue Stelle.,I have a new job.,Diese Stelle in seinem Brief ist mir nicht ganz klar.,This passage in his letter is not entirely clear to me.,An Ihrer Stelle würde ich den Vertrag nicht unterschreiben.,"If I were you, I would not sign the contract.",,,,
Stempel,"stamp, mark","der Stempel, -",Der Poststempel trägt das Datum von letzter Woche. Das Paket war lange unterwegs.,The postmark bears the date from last week. The parcel was on the road for a long time.,,,,,,,,,,
Stern,star,"der Stern, -e",Heute sieht man viele Sterne am Himmel.,Today you can see many stars in the sky.,,,,,,,,,,
Steuer,tax,"die Steuer, -n",Wir müssen immer mehr Steuern zahlen.,We have to pay more and more taxes.,,,,,,,,,,
"Steward, Stewardess","steward, stewardess","der Steward, -s 
die Stewardess, -en",Die Stewardess bringt das Mittagessen.,The stewardess brings lunch.,,,,,,,,,,
Stift,pen,"der Stift, -e",Kannst du mir bitte einen Stift geben?,"Can you give me a pen, please?",,,,,,,,,,
Stil,style,"der Stil, -e",Ihr Stil ist sehr elegant.,Her style is very elegant.,Das Gebäude gefällt mir. Welcher Baustil ist das?,I like the building. What architectural style is it?,,,,,,,,
Stiefel,boot,"der Stiefel, -",Ich habe mir für den Winter ein Paar warme Stiefel gekauft.,I bought a pair of warm boots for the winter.,,,,,,,,,,
Stiege,stairs,"die Stiege, -n (A) 
→ D, CH: Treppe",Wo ist die Toilette? – Die Stiege hoch und dann links.,Where is the toilet? - Up the stairs and then left.,Meine Oma kann nicht gut Stiegen steigen.,My grandma is not good at climbing stairs.,,,,,,,,
Stiegenhaus,stairwell,"das Stiegenhaus, ¨-er (A) 
→ D, CH: Treppenhaus",Im Stiegenhaus ist kein Licht.,There is no light in the stairwell.,,,,,,,,,,
Stimme,voice,"die Stimme, -n",Ich habe dich sofort an der Stimme erkannt.,I recognized you immediately by your voice.,,,,,,,,,,
Stimmung,mood,"die Stimmung, -en",Es war eine tolle Party. Die Stimmung war sehr gut.,It was a great party. The atmosphere was very good.,,,,,,,,,,
Stock,floor,"der Stock, - 
→ D, CH: Etage","Das Büro ist im 3. Stock, Zimmer 305.","The office is on the 3rd floor, room 305.",,,,,,,,,,
Stockwerk,floor,"das Stockwerk, -e",Das Gebäude hat zwanzig Stockwerke.,The building has twenty floors.,,,,,,,,,,
Stoff,"fabric, substance","der Stoff, -e",Was für ein Stoff ist das? – Wolle.,What kind of fabric is that? - Wool.,In manchen Farben sind giftige Stoffe.,Some paints contain toxic substances.,,,,,,,,
Störung,"disturbance, malfunction","die Störung, -en",Entschuldigen Sie bitte die Störung.,We apologize for the inconvenience.,,,,,,,,,,
Strafe,penalty,"die Strafe, -n",Schwarzfahren kostet 60 Euro Strafe.,Fare dodging costs a fine of 60 euros.,,,,,,,,,,
Strafzettel,parking ticket,"der Strafzettel, -",So ein Pech! Ich habe einmal falsch geparkt und sofort einen Strafzettel bekommen.,What bad luck! I parked incorrectly once and immediately got a parking ticket.,,,,,,,,,,
Strand,beach,"der Strand, ¨-e",Im Urlaub bin ich am liebsten am Strand.,My favorite place to be on vacation is the beach.,,,,,,,,,,
Straße,street,"die Straße, -n",Wir wohnen in einer sehr kleinen Straße.,We live in a very small street.,Unser Haus ist eine Straße weiter.,Our house is one street away.,,,,,,,,
Straßenbahn,tram,"die Straßenbahn, -en (D, A) 
→ CH: Tram",Fahren wir mit der Straßenbahn oder der U-Bahn?,Are we taking the tram or the subway?,,,,,,,,,,
Strecke,"route, distance, stretch","die Strecke, -n",Sind Sie die ganze Strecke zu Fuß gegangen?,Did you walk the whole way?,Auf der Strecke München – Salzburg: 8 km Stau.,On the Munich - Salzburg route: 8 km traffic jam.,"Ich möchte nach Hamburg fahren. Können Sie mir sagen, welche Strecke am besten ist?",I would like to travel to Hamburg. Can you tell me which route is best?,,,,,,
Streichholz,match,"das Streichholz, ¨-er 
→ Zündholz; A: Zünder",Ich hätte gern eine Schachtel Streichhölzer.,I would like a box of matches.,,,,,,,,,,
Streik,strike,"der Streik, -s",Es gab einen Streik am Flughafen. Deshalb hatte unsere Maschine Verspätung.,There was a strike at the airport. That's why our plane was delayed.,,,,,,,,,,
Streit,"dispute, argument","der Streit, -e",Ich möchte keinen Streit mit den Nachbarn.,I don't want a fight with the neighbors.,,,,,,,,,,
Stress,stress,"der Stress, -e",Ich habe bei der Arbeit viel Stress.,I have a lot of stress at work.,,,,,,,,,,
Strom,"electricity, current","der Strom, ¨-e",Wie kann ich im Haushalt Strom sparen?,How can I save electricity at home?,,,,,,,,,,
Strumpf,stocking,"der Strumpf, ¨-e",Wo sind meine roten Strümpfe?,Where are my red stockings?,,,,,,,,,,
Stück/-stück,"piece, play","das Stück/-stück, -e",Ich nehme zwei Stück Zucker in den Kaffee.,I take two lumps of sugar in my coffee.,Möchten Sie noch ein Stück Kuchen?,Would you like another piece of cake?,Was kosten die Kulis? – Ein Euro pro Stück.,How much do the pens cost? - One euro per piece.,Ich begleite dich ein Stück.,I'll accompany you for a while.,Er spielt in dem Stück die Hauptrolle.,He plays the leading role in the play.,,
Studie,study,"die Studie, -n",Wir führen eine Studie über Arbeitslosigkeit durch.,We are conducting a study on unemployment.,"Eine aktuelle Studie zeigt, dass die Umweltverschmutzung zunimmt.",A recent study shows that environmental pollution is on the rise.,,,,,,,,
"Student, Studentin",student,"der Student, -en 
die Studentin, -nen",Schüler und Studenten zahlen die Hälfte.,Pupils and students pay half price.,,,,,,,,,,
Studierende,students,"der Studierende, -n 
die Studierende, -n",Zehn Studierende besuchen das Seminar.,Ten students attend the seminar.,,,,,,,,,,
Studium,study,"das Studium, Studien",Sie brauchen für diese Stelle ein abgeschlossenes Studium.,You need a degree for this position.,,,,,,,,,,
Studio,studio,"das Studio, -s",Zu Gast im Studio sind heute ...,Today's guests in the studio are ...,,,,,,,,,,
Stufe,"step, level, stage","die Stufe, -n","Vorsicht, Stufe!","Careful, step!",Die Volkshochschule bietet Sprachkurse auf verschiedenen Stufen an.,The adult education center offers language courses at various levels.,,,,,,,,
Stuhl,chair,"der Stuhl, ¨-e",Da hinten ist noch ein Stuhl frei.,There's a free chair at the back.,,,,,,,,,,
Stunde,hour,"die Stunde, -n",Ich bin in einer Stunde wieder zurück.,I'll be back in an hour.,Wir haben heute nur vier Stunden Schule.,We only have four hours of school today.,Ich warte seit zwei Stunden auf dich.,I've been waiting for you for two hours.,,,,,,
Sturm,storm,"der Sturm, ¨-e",Im Radio haben sie Regen und Sturm angesagt.,The radio announced rain and storms.,,,,,,,,,,
Sucht,addiction,"die Sucht, ¨-e",Die Sucht nach Medikamenten nimmt zu.,Addiction to medication is on the rise.,Er kämpft gegen seine Alkoholsucht.,He fights against his alcohol addiction.,Das Internet kann zur Sucht werden.,The Internet can become an addiction.,,,,,,
Suchtmittel,addictive substances,"das Suchtmittel, -",Manche Medikamente sind auch Suchtmittel.,Some drugs are also addictive.,,,,,,,,,,
Summe,"sum, total","die Summe, -n",Die Summe scheint mir zu hoch!,The sum seems too high to me!,,,,,,,,,,
Supermarkt,supermarket,"der Supermarkt, ¨-e",Donnerstags gehe ich immer in den Supermarkt.,I always go to the supermarket on Thursdays.,,,,,,,,,,
Suppe,soup,"die Suppe, -n",Schmeckt dir die Suppe?,Do you like the soup?,,,,,,,,,,
Symbol,"symbol, icon","das Symbol, -e",Das Herz ist ein Symbol für die Liebe.,The heart is a symbol of love.,Auf dem Bildschirm finden Sie viele Symbole.,You will find many symbols on the screen.,,,,,,,,
System,system,"das System, -e",Welches Betriebssystem hast du?,Which operating system do you have?,Ich kenne Ihr System nicht. Können Sie es mir erklären?,I don't know your system. Can you explain it to me?,,,,,,,,
Szene,scene,"die Szene, -n",In dieser Szene des Films stirbt der Held.,"In this scene of the movie, the hero dies.",Ich kenne mich in der Szene nicht aus. Ich bin zu alt.,I don't know my way around the scene. I'm too old.,Bitte mach keine Szene!,Please don't make a scene!,,,,,,
Tabelle,table,"die Tabelle, -n",Tragen Sie die richtige Information in die Tabelle ein.,Enter the correct information in the table.,,,,,,,,,,
Tablette,"tablet, pill","die Tablette, -n",Nehmen Sie dreimal täglich eine Tablette.,Take one tablet three times a day.,,,,,,,,,,
Tafel,"board, bar, tablet","die Tafel, -n",Der Lehrer schreibt das neue Wort an die Tafel.,The teacher writes the new word on the board.,Sie finden am Eingang eine Tafel mit Informationen.,You will find a board with information at the entrance.,Ich hätte gern zwei Tafeln Schokolade.,I would like two bars of chocolate.,,,,,,
Tagesablauf,daily routine,"der Tagesablauf, ¨-e",Wie ist Ihr Tagesablauf?,What is your daily routine like?,,,,,,,,,,
Tal,valley,"das Tal, ¨-er",Unser Dorf liegt in einem Tal.,Our village lies in a valley.,,,,,,,,,,
Talent,talent,"das Talent, -e",Sie hat großes Talent für Musik.,She has a great talent for music.,,,,,,,,,,
Tankstelle,gas station,"die Tankstelle, -n",Wo ist die nächste Tankstelle?,Where is the nearest gas station?,,,,,,,,,,
Tante,aunt,"die Tante, -n","Die Familie meiner Mutter ist sehr groß, daher habe ich viele Tanten.","My mother's family is very large, so I have lots of aunts.",,,,,,,,,,
Tanz,dance,"der Tanz, ¨-e",Diese modernen Tänze kann ich nicht.,I can't do these modern dances.,,,,,,,,,,
Tasche,bag,"die Tasche, -n","Ich habe nicht viel Gepäck, nur eine Tasche.","I don't have much luggage, just one bag.",Meine Jacke hat keine Taschen.,My jacket has no pockets.,,,,,,,,
Taschengeld,pocket money,"das Taschengeld, -er",Wie viel Taschengeld bekommst du im Monat?,How much pocket money do you get per month?,,,,,,,,,,
Taschentuch,handkerchief,"das Taschentuch, ¨-er",Hast du ein Taschentuch für mich?,Do you have a handkerchief for me?,,,,,,,,,,
Tasse,cup,"die Tasse, -n",Die Tassen sind von meiner Großmutter.,The cups are from my grandmother.,Möchten Sie eine Tasse Kaffee?,Would you like a cup of coffee?,,,,,,,,
Tastatur,keyboard,"die Tastatur, -en",Die Tastatur an meinem Computer ist ganz neu.,The keyboard on my computer is brand new.,,,,,,,,,,
Taste,"button, key","die Taste, -n",An der Fernbedienung ist eine Taste kaputt.,A button on the remote control is broken.,Du musst jetzt die Stopp-Taste drücken.,You must now press the stop button.,,,,,,,,
Tat,"deed, act","die Tat, -en",Dieser Mensch hat mit vielen guten Taten geholfen.,This person has helped with many good deeds.,,,,,,,,,,
"Täter, Täterin","perpetrator, criminal","der Täter, - 
die Täterin, -nen",Die Polizei hat den Täter endlich gefasst.,The police have finally caught the perpetrator.,,,,,,,,,,
Tätigkeit,activity,"die Tätigkeit, -en",Welche Tätigkeit würde Ihnen Spaß machen?,Which activity would you enjoy?,,,,,,,,,,
Tatsache,fact,"die Tatsache, -n",Das widerspricht den Tatsachen.,That contradicts the facts.,,,,,,,,,,
Technik,"technology, technique","die Technik, -en",Ich verstehe nicht viel von Technik.,I don't know much about technology.,"Um die Aufgaben zu lösen, brauchst du eine gute Arbeitstechnik.","To solve the tasks, you need a good working technique.",,,,,,,,
Technologie,technology,"die Technologie, -n",Große Fortschritte gab es in der Technologie.,Great progress has been made in technology.,,,,,,,,,,
Tee,tea,"der Tee, -s",Bitte einen Tee mit Zitrone.,"A tea with lemon, please.",Was kostet dieser Tee hier?,How much is this tea here?,,,,,,,,
Teil,part,"der Teil, -e",Was steht in dem Brief? Ich habe den ersten Teil nicht verstanden,What does the letter say? I didn't understand the first part,Der Film hat zwei Teile. Heute kommt Teil 1.,The movie has two parts. Part 1 is coming today.,Gefällt dir der neue Job? – Nur zum Teil.,Do you like the new job? - Only partly.,,,,,,
Teilzeit,part-time,"die Teilzeit, -en",Ich arbeite im Moment nur Teilzeit.,I only work part-time at the moment.,,,,,,,,,,
Teilnahme,participation,"die Teilnahme, -n",Die Teilnahme am Gewinnspiel ist kostenlos.,Participation in the competition is free of charge.,,,,,,,,,,
"Teilnehmer, Teilnehmerin",participant,"der Teilnehmer, - 
die Teilnehmerin, -nen",Die Teilnehmerinnen aus unserem Kurs kommen aus verschiedenen Ländern.,The participants in our course come from different countries.,,,,,,,,,,
Telefon,telephone,"das Telefon, -e",1. Darf ich bitte Ihr Telefon benutzen?,1. may I please use your phone?,,,,,,,,,,
Teller,plate,"der Teller, -",Stell bitte schon mal die Teller auf den Tisch!,Please put the plates on the table!,Willst du noch einen Teller Suppe?,Would you like another bowl of soup?,,,,,,,,
Temperatur,temperature,"die Temperatur, -en",Die Temperaturen steigen heute um 10 Grad.,Temperatures will rise by 10 degrees today.,,,,,,,,,,
Tempo,speed,"das Tempo, -s",Hier darfst du nur Tempo 30 fahren.,You are only allowed to drive at 30 km/h here.,"Achtung, hier ist eine Tempo-30-Zone!","Attention, this is a 30 km/h zone!",,,,,,,,
Tennis,tennis,das Tennis (Sg.),Ich spiele gern Tennis.,I like playing tennis.,,,,,,,,,,
Teppich,carpet,"der Teppich, -e",Ich habe mir einen neuen Teppich gekauft.,I bought a new carpet.,Habt ihr in eurer neuen Wohnung Teppich oder einen Holzfußboden?,Do you have carpet or a wooden floor in your new home?,,,,,,,,
Termin,"date, appointment","der Termin, -e",Als Termin schlage ich den 3. Mai vor.,I suggest May 3 as the date.,,,,,,,,,,
Terminkalender,appointment calendar,"der Terminkalender, -",Hast du unser Treffen schon in deinen Terminkalender eingetragen?,Have you already entered our meeting in your diary?,,,,,,,,,,
Terrasse,terrace,"die Terrasse, -n",Setzen wir uns auf die Terrasse!,Let's sit on the terrace!,,,,,,,,,,
Test,test,"der Test, -s",Ich bin ganz sicher: Du wirst den Test schaffen.,I am quite sure that you will pass the test.,,,,,,,,,,
Text,text,"der Text, -e",Lesen Sie den Text.,Read the text.,,,,,,,,,,
Theater,theater,"das Theater, -",Wir gehen nächste Woche ins Theater.,We're going to the theater next week.,,,,,,,,,,
Thema,topic,"das Thema, Themen",Wir haben im Kurs viel über das Thema Umwelt gesprochen.,We talked a lot about the environment during the course.,,,,,,,,,,
Theorie,theory,"die Theorie, -n",Das ist die Theorie. In der Praxis ist vieles ganz anders.,"That's the theory. In practice, things are very different.",,,,,,,,,,
Therapie,therapy,"die Therapie, -n",Die Therapie hat geholfen. Es geht mir schon viel besser.,The therapy has helped. I'm already feeling much better.,,,,,,,,,,
Ticket,ticket,"das Ticket, -s",Wir müssen die Tickets für unseren Flug ausdrucken.,We have to print out the tickets for our flight.,Ich kaufe heute Tickets für das Konzert.,I'm buying tickets for the concert today.,,,,,,,,
Tier,animal,"das Tier, -e",Er mag Tiere sehr und geht darum oft in den Zoo.,He really likes animals and therefore often goes to the zoo.,,,,,,,,,,
Haustier,pet,"das Haustier, -e","Hat deine Familie ein Haustier? ? Ja, wir haben einen Hund.","Does your family have a pet? ? Yes, we have a dog.",,,,,,,,,,
Tierpark,zoo,"der Tierpark, -s",Wollen wir am Samstag mit den Kindern in den Tierpark gehen?,Shall we take the children to the zoo on Saturday?,,,,,,,,,,
Tipp,tip,"der Tipp, -s",Kannst du mir einen Tipp geben? Wo finde ich billige Möbel?,Can you give me a tip? Where can I find cheap furniture?,,,,,,,,,,
Tisch,table,"der Tisch, -e",Das Essen steht schon auf dem Tisch.,The food is already on the table.,,,,,,,,,,
Titel,title,"der Titel, -",Wie heißt der Film? – Ich weiß den Titel nicht mehr.,What is the name of the movie? - I can't remember the title.,"Haben Sie einen Titel? – Ja, Doktor.","Do you have a title? - Yes, doctor.",,,,,,,,
Tochter,daughter,"die Tochter, ¨-",Das ist meine Tochter Katharina.,This is my daughter Katharina.,,,,,,,,,,
Tod,death,"der Tod, -e",Ich habe ihn vor seinem Tod noch einmal gesehen.,I saw him again before he died.,,,,,,,,,,
Toilette,toilet,"die Toilette, -n","Wo ist die Toilette, bitte?","Where is the toilet, please?",,,,,,,,,,
Tomate,tomato,"die Tomate, -n 
→ A: Paradeiser",Kauf bitte noch Tomaten auf dem Markt.,Please buy tomatoes at the market.,,,,,,,,,,
Topf,pot,"der Topf, ¨-e (D, A) 
→ CH: Pfanne",Dieses Jahr haben wir keine Töpfe mit Blumen auf dem Balkon.,This year we don't have any pots of flowers on the balcony.,Hast du keinen größeren Topf? Ich möchte Kartoffeln kochen. ? (CH: Pfanne),Don't you have a bigger pot? I want to cook potatoes. ? (CH: pan),,,,,,,,
Tor,"gate, goal","das Tor, -e",Hinter dem Tor geht es zur Fabrik.,Behind the gate is the factory.,Die Mannschaft konnte vier Tore schießen.,The team scored four goals.,,,,,,,,
Torte,cake,"die Torte, -n",Zum Geburtstag backe ich dir eine Torte.,I'll bake you a cake for your birthday.,,,,,,,,,,
Tote,the dead,"der Tote, -n 
die Tote, -n",Bei dem Unfall gab es zwei Tote.,There were two fatalities in the accident.,,,,,,,,,,
Tourismus,tourism,der Tourismus (Sg.),In dieser Gegend gibt es viel Tourismus.,There is a lot of tourism in this area.,,,,,,,,,,
"Tourist, Touristin",tourist,"der Tourist, -en 
die Touristin, -nen",Es kommen immer mehr Touristen in unsere Stadt.,More and more tourists are coming to our city.,,,,,,,,,,
Tradition,tradition,"die Tradition, -en",Eine große Hochzeit mit vielen Leuten ist bei uns Tradition.,A big wedding with lots of people is a tradition for us.,,,,,,,,,,
"Trainer, Trainerin",trainer,"der Trainer, - 
die Trainerin, -nen",Ich finde unseren Trainer sehr nett.,I think our coach is very nice.,,,,,,,,,,
Training,training,"das Training, -s",Jeden Dienstag ist Training.,Training is every Tuesday.,Ich gehe jede Woche zum Training.,I go to training every week.,,,,,,,,
Tram,"streetcar, tram","das Tram, -s 
→ D, A: Straßenbahn",Fahren wir mit dem Tram oder dem Bus?,Are we taking the streetcar or the bus?,,,,,,,,,,
Träne,tear,"die Träne, -n",Sie trocknet dem Kind die Tränen. Wie willst du die Möbel denn transportieren?,She dries the child's tears. How are you going to transport the furniture?,,,,,,,,,,
Transport,transportation,"der Transport, -e",Was kostet der Transport?,What does transportation cost?,,,,,,,,,,
Traum,dream,"der Traum, ¨-e",Mein Traum ist ein eigenes Geschäft.,My dream is to have my own business.,,,,,,,,,,
Treffpunkt,meeting point,"der Treffpunkt, -e",Unser Treffpunkt ist um 17 Uhr am Hauptbahnhof.,Our meeting point is at 5 p.m. at the main station.,,,,,,,,,,
Trennung,separation,"die Trennung, -en",Die Trennung von der Familie war schwierig.,The separation from the family was difficult.,"Meine Kollegin ist noch nicht geschieden, aber sie lebt in Trennung.","My colleague is not yet divorced, but she is separated.",,,,,,,,
Treppe,stairs,"die Treppe, -n (D, CH) 
→ A: Stiege",Wo ist die Toilette? – Die Treppe hoch und dann links.,Where is the toilet? - Up the stairs and then left.,Meine Oma kann nicht gut Treppen steigen.,My grandma is not good at climbing stairs.,,,,,,,,
Treppenhaus,stairwell,"das Treppenhaus, ¨-er (D, CH) -> A: Stiegenhaus",Im Treppenhaus ist kein Licht.,There is no light in the stairwell.,,,,,,,,,,
Trinkgeld,tip,"das Trinkgeld, -er",Ich habe dem Kellner zwei Euro Trinkgeld gegeben.,I tipped the waiter two euros.,,,,,,,,,,
Tropfen,drops,die Tropfen (Pl.),Hast du die Tropfen schon genommen?,Have you already taken the drops?,Wegen der paar Regentropfen brauchst du doch keinen Schirm.,You don't need an umbrella because of a few raindrops.,,,,,,,,
Trottoir,sidewalk,"das Trottoir, -s (CH) 
→ Gehsteig (D, A)",Das Velofahren auf dem Trottoir ist nicht erlaubt.,Cycling on the sidewalk is not permitted.,,,,,,,,,,
Tuch,"cloth, scarf","das Tuch, ¨-er",Wo hast du dieses schöne Tuch gekauft?,Where did you buy this beautiful scarf?,Die Handtücher sind im Schrank ganz oben.,The towels are in the cupboard at the top.,Hast du ein Taschentuch für mich?,Do you have a handkerchief for me?,,,,,,
